tech_slug,tech_name,category,is_tracked,search_query,alias_count
mainframe,Mainframe,mainframe,true,Mainframe,3
jcl,JCL,mainframe,true,JCL,1
cics,CICS,mainframe,true,CICS,0
db2,Db2,mainframe,true,Db2,1
ims,IMS,mainframe,false,IMS,0
vsam,VSAM,mainframe,false,VSAM,0
rexx,REXX,mainframe,false,REXX,0
assembler,Assembler,mainframe,false,Assembler,2
as400,AS/400,mainframe,false,AS/400,3
rpg,RPG,mainframe,false,RPG,2
natural_adabas,Natural/ADABAS,mainframe,false,Natural/ADABAS,2
tso,TSO,mainframe,false,TSO,2
mq,IBM MQ,mainframe,false,IBM MQ,2
endevor,Endevor,mainframe,false,Endevor,1
changeman,ChangeMan,mainframe,false,ChangeMan,0
